text|favorite_count|date_creation|retweet_count|date
pmarca once you acknowledge that alcohol is poison its fine to drink a little the trade is a small amount of health for an even smaller amount of fun but thats not crazy to do once in a while with friends||||
alcohol is a legacy drug|277.0|2023-03-01 19:22:44|32.0|2023-03-01
neontaster |4571.0|2023-03-01 07:15:08|226.0|2023-03-01
rainmaker intense|4125.0|2023-03-01 07:13:17|201.0|2023-03-01
evafoxu |1580.0|2023-03-01 07:08:42|78.0|2023-03-01
sawyermerritt |6026.0|2023-03-01 07:00:06|202.0|2023-03-01
what do you call an infinite gear ratio||||
all torque no action|71440.0|2023-03-01 06:25:20|5397.0|2023-03-01
teslaaibot photo filters are so misleading |19364.0|2023-03-01 00:13:28|738.0|2023-03-01
repthomasmassie |5357.0|2023-03-01 00:00:27|365.0|2023-03-01
wsj wsjopinion good|5075.0|2023-02-28 22:42:25|300.0|2023-02-28
periodic reminder to try using twitter lists will greatly improve your experience|70919.0|2023-02-28 22:36:16|6265.0|2023-02-28
jamesdouma accurate|3206.0|2023-02-28 21:23:19|178.0|2023-02-28
erdayastronaut yeah|2848.0|2023-02-28 21:10:51|143.0|2023-02-28
onl kirillgroshkov tesla does int inference way more efficient than fp but took us a lot of effort to overcome quantization errors|1296.0|2023-02-28 19:54:53|98.0|2023-02-28
ajtourville ulalaunch spacex wow  years ago amazingly the us was dependent on russian engines for national security missions back then|13916.0|2023-02-28 19:51:19|842.0|2023-02-28
erdayastronaut raptor start is now reliable on the test stand under most conditions ||||
now were working on dynamically adapting the start sequence based on increasingly difficult propellant inlet pressures amp temps ||||
operating with low pressure warm liquid oxygen is particularly important|5585.0|2023-02-28 19:42:59|337.0|2023-02-28
tesmaniancom kind words from toyota|17609.0|2023-02-28 19:33:17|586.0|2023-02-28
erdayastronaut raptor start sequence is |4448.0|2023-02-28 19:27:59|202.0|2023-02-28
zubymusic looking into it|7991.0|2023-02-28 18:56:24|396.0|2023-02-28
|260437.0|2023-02-28 18:44:20|18636.0|2023-02-28
billymk |7698.0|2023-02-28 18:14:42|259.0|2023-02-28
attilathelund you are right|11606.0|2023-02-28 18:13:55|532.0|2023-02-28
basedai|50844.0|2023-02-28 17:44:21|4516.0|2023-02-28
notthebee thebabylonbee |8775.0|2023-02-28 16:51:15|539.0|2023-02-28
alphasignalai absolutely|11807.0|2023-02-28 16:48:51|489.0|2023-02-28
noahpinion we have made large construction projects almost illegal|22165.0|2023-02-28 08:31:05|1448.0|2023-02-28
cbdoge anubis|5521.0|2023-02-28 08:18:48|279.0|2023-02-28
kkbaghel mcfaul neither side has air superiority amp tanks are easily destroyed by missiles so that leaves infantry amp artillery  basically ww drones are not yet available in sufficient numbers to matter much like aircraft in ww||||
a defense in depth trench war means   |4277.0|2023-02-28 08:16:40|390.0|2023-02-28
mcfaul ukraine needs to be in max defense mode major russian offensive coming||||
do you know how many casualties each side has taken|50093.0|2023-02-28 07:52:38|3203.0|2023-02-28
warmapper almost surrounded|2429.0|2023-02-28 07:45:28|233.0|2023-02-28
eightsleep its good|1513.0|2023-02-28 07:17:48|78.0|2023-02-28
herodividend berkshire hathaway high on coke|14310.0|2023-02-28 06:34:38|497.0|2023-02-28
cbdoge they forced me to buy it |105489.0|2023-02-28 06:11:36|4695.0|2023-02-28
mtracey still no one is willing to articulate a realistic end game|31468.0|2023-02-28 06:05:49|2471.0|2023-02-28
yuqiiqian high time humanity built a permanently occupied base on the moon|19364.0|2023-02-28 06:01:54|993.0|2023-02-28
historyinpics if rendered to scale in that pic the satellites would be smaller than a pixel except maybe space station ||||
space is big real big|9370.0|2023-02-28 05:42:41|385.0|2023-02-28
billfoxla only a small  is ever caught which means the amount of fentanyl reaching consumers must be vastly greater|18938.0|2023-02-28 04:34:29|1684.0|2023-02-28
trungtphan ashleevance stinky wifi is still my fav  if you cant smell your wifi how do you know its real|3167.0|2023-02-28 04:19:02|138.0|2023-02-28
ashleevance changing starlink default wifi name to fbivan on april |77798.0|2023-02-28 04:15:45|2552.0|2023-02-28
ashleevance |2483.0|2023-02-28 04:12:15|107.0|2023-02-28
aaronjmate the diplomats want war and the warriors want peace|61924.0|2023-02-28 03:12:55|8922.0|2023-02-28
wholemarsblog earth is almost entirely solarpowered already without the sun wed just be a dark ice ball with some chemotrophic bacteria|27342.0|2023-02-28 03:08:39|1515.0|2023-02-28
lukewearechange true|9631.0|2023-02-28 02:40:02|420.0|2023-02-28
first starlink v satellites reach orbit |296008.0|2023-02-28 02:28:19|23354.0|2023-02-28
lrocket the transition to argon was tricky but necessary as krypton is too rare|4535.0|2023-02-28 02:20:58|230.0|2023-02-28
erdayastronaut propulsive landing ftw|7902.0|2023-02-28 01:41:12|362.0|2023-02-28
jaycartere scottadamssays i dont agree with everything scott says but dilbert is legit funny amp insightful||||
we should stop canceling comedy|15435.0|2023-02-27 20:13:28|1697.0|2023-02-27
